epoch:42 train_acc:88.36 test_acc:59.33 train_loss:0.361414623649224 test_loss:1.903683369672751 train_top5_correct:99.26 test_top5_correct:84.65
epoch:43 train_acc:88.956 test_acc:61.54 train_loss:0.341136052670991 test_loss:1.7867194610305979 train_top5_correct:99.298 test_top5_correct:86.44
epoch:44 train_acc:89.574 test_acc:61.14 train_loss:0.32350448642850227 test_loss:1.7857659708095501 train_top5_correct:99.384 test_top5_correct:86.51
epoch:45 train_acc:90.048 test_acc:61.06 train_loss:0.308612225724913 test_loss:1.8675897227057927 train_top5_correct:99.492 test_top5_correct:86.25
epoch:46 train_acc:90.626 test_acc:60.26 train_loss:0.28869345646989925 test_loss:1.8888463989088806 train_top5_correct:99.514 test_top5_correct:86.4
epoch:47 train_acc:90.98 test_acc:60.73 train_loss:0.278037041330429 test_loss:1.8763634524767911 train_top5_correct:99.546 test_top5_correct:86.02
epoch:48 train_acc:91.39 test_acc:61.5 train_loss:0.26602554041177723 test_loss:1.8615711504900003 train_top5_correct:99.63 test_top5_correct:86.39
epoch:49 train_acc:91.986 test_acc:61.26 train_loss:0.24861698281353392 test_loss:1.8886926023265984 train_top5_correct:99.674 test_top5_correct:85.97
epoch:50 train_acc:92.132 test_acc:60.96 train_loss:0.24114107721678132 test_loss:1.8977297204959243 train_top5_correct:99.726 test_top5_correct:85.94
epoch:51 train_acc:92.652 test_acc:61.27 train_loss:0.22539495221336783 test_loss:1.900923395458656 train_top5_correct:99.776 test_top5_correct:86.42
epoch:52 train_acc:92.922 test_acc:61.34 train_loss:0.22153396414750068 test_loss:1.9258997093273114 train_top5_correct:99.73 test_top5_correct:86.41
epoch:53 train_acc:93.354 test_acc:60.77 train_loss:0.20694174394583154 test_loss:1.9469005955925471 train_top5_correct:99.766 test_top5_correct:85.84
epoch:54 train_acc:93.666 test_acc:61.36 train_loss:0.19626660557354197 test_loss:1.917286832121354 train_top5_correct:99.824 test_top5_correct:86.41
epoch:55 train_acc:93.896 test_acc:61.89 train_loss:0.18821963475412115 test_loss:1.9334098402457902 train_top5_correct:99.856 test_top5_correct:86.12
epoch:56 train_acc:93.802 test_acc:61.58 train_loss:0.18939470524525703 test_loss:1.9683863890321949 train_top5_correct:99.832 test_top5_correct:85.97
epoch:57 train_acc:94.68 test_acc:61.92 train_loss:0.17029839346323478 test_loss:1.918033688883238 train_top5_correct:99.856 test_top5_correct:86.34
epoch:58 train_acc:94.888 test_acc:61.63 train_loss:0.1628924810882572 test_loss:1.9804673904105077 train_top5_correct:99.87 test_top5_correct:86.52
epoch:59 train_acc:95.0 test_acc:61.95 train_loss:0.15780314854572497 test_loss:1.9518992236897916 train_top5_correct:99.894 test_top5_correct:86.47
