epoch:42 train_acc:86.074 test_acc:53.05 train_loss:0.4334805282714117 test_loss:2.3056931903090656 train_top5_correct:98.98 test_top5_correct:80.44
epoch:43 train_acc:86.848 test_acc:53.02 train_loss:0.4068835103298392 test_loss:2.372894421408448 train_top5_correct:99.102 test_top5_correct:80.11
epoch:44 train_acc:87.306 test_acc:52.94 train_loss:0.392664459355347 test_loss:2.4183822176124474 train_top5_correct:99.192 test_top5_correct:79.8
epoch:45 train_acc:87.994 test_acc:52.66 train_loss:0.3696793675270227 test_loss:2.4919816285749024 train_top5_correct:99.314 test_top5_correct:79.15
epoch:46 train_acc:88.882 test_acc:52.47 train_loss:0.347111554325694 test_loss:2.460635971419419 train_top5_correct:99.382 test_top5_correct:80.04
epoch:47 train_acc:89.536 test_acc:52.79 train_loss:0.3242439682526357 test_loss:2.497254957126666 train_top5_correct:99.466 test_top5_correct:79.59
epoch:48 train_acc:89.672 test_acc:53.04 train_loss:0.31788986898444194 test_loss:2.5316827568826796 train_top5_correct:99.52 test_top5_correct:79.63
epoch:49 train_acc:90.346 test_acc:53.73 train_loss:0.303378486953428 test_loss:2.4503256580497643 train_top5_correct:99.582 test_top5_correct:80.32
epoch:50 train_acc:90.796 test_acc:53.14 train_loss:0.28872994457364387 test_loss:2.4844993624506118 train_top5_correct:99.604 test_top5_correct:79.48
epoch:51 train_acc:91.274 test_acc:53.26 train_loss:0.27500994979877913 test_loss:2.4851859521262254 train_top5_correct:99.646 test_top5_correct:80.1
epoch:52 train_acc:91.642 test_acc:53.1 train_loss:0.2592721822507241 test_loss:2.5434903977792476 train_top5_correct:99.656 test_top5_correct:79.69
epoch:53 train_acc:91.79 test_acc:52.99 train_loss:0.25275536691365036 test_loss:2.5576314624351792 train_top5_correct:99.702 test_top5_correct:80.32
epoch:54 train_acc:92.108 test_acc:53.18 train_loss:0.24722250440465215 test_loss:2.5763308503959754 train_top5_correct:99.648 test_top5_correct:79.66
epoch:55 train_acc:92.586 test_acc:53.0 train_loss:0.23217123735438833 test_loss:2.577291799497001 train_top5_correct:99.742 test_top5_correct:79.7
